ADAL,interneuron
ADAR,interneuron
ADEL,sensoryneuron
ADER,sensoryneuron
ADFL,sensoryneuron
ADFR,sensoryneuron
ADLL,sensoryneuron
ADLR,sensoryneuron
AFDL,sensoryneuron
AFDR,sensoryneuron
AIAL,interneuron
AIAR,interneuron
AIBL,interneuron
AIBR,interneuron
AIML,interneuron
AIMR,interneuron
AINL,interneuron
AINR,interneuron
AIYL,interneuron
AIYR,interneuron
AIZL,interneuron
AIZR,interneuron
ALA,interneuron
ALML,sensoryneuron
ALMR,sensoryneuron
ALNL,sensoryneuron
ALNR,sensoryneuron
AQR,sensoryneuron
AS1,motorneuron
AS10,motorneuron
AS11,motorneuron
AS2,motorneuron
AS3,motorneuron
AS4,motorneuron
AS5,motorneuron
AS6,motorneuron
AS7,motorneuron
AS8,motorneuron
AS9,motorneuron
ASEL,sensoryneuron
ASER,sensoryneuron
ASGL,sensoryneuron
ASGR,sensoryneuron
ASHL,sensoryneuron
ASHR,sensoryneuron
ASIL,sensoryneuron
ASIR,sensoryneuron
ASJL,sensoryneuron
ASJR,sensoryneuron
ASKL,sensoryneuron
ASKR,sensoryneuron
AUAL,sensoryneuron
AUAR,sensoryneuron
AVAL,interneuron
AVAR,interneuron
AVBL,interneuron
AVBR,interneuron
AVDL,interneuron
AVDR,interneuron
AVEL,interneuron
AVER,interneuron
AVFL,interneuron
AVFR,interneuron
AVG,sensoryneuron
AVHL,interneuron
AVHR,interneuron
AVJL,interneuron
AVJR,interneuron
AVKL,interneuron
AVKR,interneuron
AVL,motorneuron
AVM,sensoryneuron
AWAL,sensoryneuron
AWAR,sensoryneuron
AWBL,sensoryneuron
AWBR,sensoryneuron
AWCL,sensoryneuron
AWCR,sensoryneuron
BAGL,sensoryneuron
BAGR,sensoryneuron
BDUL,interneuron
BDUR,interneuron
CEPDL,sensoryneuron
CEPDR,sensoryneuron
CEPVL,sensoryneuron
CEPVR,sensoryneuron
DA1,motorneuron
DA2,motorneuron
DA3,motorneuron
DA4,motorneuron
DA5,motorneuron
DA6,motorneuron
DA7,motorneuron
DA8,motorneuron
DA9,motorneuron
DB1,motorneuron
DB2,motorneuron
DB3,motorneuron
DB4,motorneuron
DB5,motorneuron
DB6,motorneuron
DB7,motorneuron
DD1,motorneuron
DD2,motorneuron
DD3,motorneuron
DD4,motorneuron
DD5,motorneuron
DD6,motorneuron
DVA,interneuron
DVB,motorneuron
DVC,interneuron
FLPL,sensoryneuron
FLPR,sensoryneuron
HSNL,motorneuron
HSNR,motorneuron
I1L,interneuron
I1R,interneuron
I2L,interneuron
I2R,interneuron
I3,interneuron
I4,interneuron
I5,interneuron
I6,interneuron
IL1DL,sensoryneuron
IL1DR,sensoryneuron
IL1L,sensoryneuron
IL1R,sensoryneuron
IL1VL,sensoryneuron
IL1VR,sensoryneuron
IL2DL,sensoryneuron
IL2DR,sensoryneuron
IL2L,sensoryneuron
IL2R,sensoryneuron
IL2VL,sensoryneuron
IL2VR,sensoryneuron
LUAL,interneuron
LUAR,interneuron
M1,interneuron
M2L,interneuron
M2R,interneuron
M3L,interneuron
M3R,interneuron
M4,motorneuron
M5,interneuron
MCL,motorneuron
MCR,motorneuron
MI,interneuron
NSML,sensoryneuron
NSMR,sensoryneuron
OLLL,sensoryneuron
OLLR,sensoryneuron
OLQDL,sensoryneuron
OLQDR,sensoryneuron
OLQVL,sensoryneuron
OLQVR,sensoryneuron
PDA,motorneuron
PDB,motorneuron
PDEL,sensoryneuron
PDER,sensoryneuron
PHAL,sensoryneuron
PHAR,sensoryneuron
PHBL,sensoryneuron
PHBR,sensoryneuron
PHCL,sensoryneuron
PHCR,sensoryneuron
PLML,sensoryneuron
PLMR,sensoryneuron
PLNL,sensoryneuron
PLNR,sensoryneuron
PQR,sensoryneuron
PVCL,interneuron
PVCR,interneuron
PVDL,interneuron
PVDR,interneuron
PVM,sensoryneuron
PVNL,interneuron
PVNR,interneuron
PVPL,interneuron
PVPR,interneuron
PVQL,interneuron
PVQR,interneuron
PVR,sensoryneuron
PVT,interneuron
PVWL,interneuron
PVWR,interneuron
RIAL,interneuron
RIAR,interneuron
RIBL,interneuron
RIBR,interneuron
RICL,interneuron
RICR,interneuron
RID,motorneuron
RIFL,interneuron
RIFR,interneuron
RIGL,interneuron
RIGR,interneuron
RIH,interneuron
RIML,motorneuron
RIMR,motorneuron
RIPL,interneuron
RIPR,interneuron
RIR,interneuron
RIS,interneuron
RIVL,motorneuron
RIVR,motorneuron
RMDDL,motorneuron
RMDDR,motorneuron
RMDL,motorneuron
RMDR,motorneuron
RMDVL,motorneuron
RMDVR,motorneuron
RMED,motorneuron
RMEL,motorneuron
RMER,motorneuron
RMEV,motorneuron
RMFL,motorneuron
RMFR,motorneuron
RMGL,motorneuron
RMGR,motorneuron
RMHL,motorneuron
RMHR,motorneuron
SAADL,interneuron
SAADR,interneuron
SAAVL,interneuron
SAAVR,interneuron
SABD,interneuron
SABVL,interneuron
SABVR,interneuron
SDQL,interneuron
SDQR,interneuron
